"aeroport","centralite"
"KWL-Guilin",1640
"EZE-Buenos Aires",1600
"NAY-Beijing",1600
"BAH-Bahrain",1600
"BLR-Bangalore",1560
"SCL-Santiago",1560
"MSY-New Orleans",1521
"GYD-Baku",1521
"RDU-Raleigh-durham",1521
"BLL-Billund",1521
"PMO-Palermo",1482
"DWC-Dubai",1480
"NRN-Weeze",1444
"NGB-Ninbo",1444
"MFM-Macau",1444
"CAG-Cagliari",1444
"PER-Perth",1444
"SVQ-Sevilla",1444
"KHN-Nanchang",1444
"TSF-Treviso",1444
"MHD-Mashhad",1443
"MAA-Madras",1443
"NAS-Nassau",1406
"CFU-Kerkyra/corfu",1406
"HAK-Haikou",1406
"YEG-Edmonton",1406
"SJO-San Jose",1406
"CHQ-Chania",1406
"KHH-Kaohsiung",1369
"HET-Hohhot",1369
"FUK-Fukuoka",1369
"ISB-Islamabad",1369
"PIT-Pittsburgh",1369
"KHI-Karachi",1332
"CTS-Sapporo",1332
"SPU-Split",1296
"LAD-Luanda",1296
"PUS-Busan",1296
"CCU-Kolkata",1296
"SVG-Stavanger",1295
"LCY-London",1260
"SJW-Shijiazhuang",1225
"HFE-Hefei",1225
"BIO-Bilbao",1225
"IND-Indianapolis",1225
"RYG-Rygge",1225
"SAT-San Antonio",1225
"MED-Madinah",1176
"TSE-Tselinograd",1156
"THR-Teheran",1156
"ANC-Anchorage",1156
"OAK-Oakland",1122
"KRR-Krasnodar",1122
"POM-Port Moresby",1122
"DAC-Dhaka",1122
"RSW-Fort Myers",1089
"CNF-Belo Horizonte",1089
"WNZ-Wenzhou",1089
"LIN-Milan",1089
"EVN-Yerevan",1089
"LHW-Lanzhou",1089
"SXM-Philipsburg",1089
"CJU-Cheju",1089
"KEF-Keflavik",1088
"OLB-Olbia",1024
"CMH-Columbus",1024
"OKA-Okinawa",1024
"AZA-Mesa",1024
"MTY-Monterrey",1024
"GOT-Gothenborg",1024
"SAL-San Salvador",992
"MEM-Memphis",992
"HKT-Phuket",992
"TIJ-Tijuana",992
"AHO-Alghero",961
"NYO-Stockholm",961
"WRO-Wroclaw",961
"LHE-Lahore",961
"DKR-Dakar",961
"PIE-St. Petersburg",961
"KTM-Kathmandu",961
"NUE-Nuernberg",960
"TRD-Trondheim",930
"DYU-Dushanbe",930
"HAV-Havana",930
"YHZ-Halifax",924
"BKI-Kota Kinabalu",900
"ORK-Cork",900
"FNC-Funchal",900
"TRF-Sandefjord",900
"ZUH-Zhuhai",900
"MKE-Milwaukee",900
"INC-Yinchuan",870
"JER-Jersey",870
"SJC-San Jose",870
"LIL-Lille",870
"CNS-Cairns",870
"CGQ-Changchun",841
"ABZ-Aberdeen",841
"SSA-Salvador",841
"CEB-Cebu",841
"TRN-Torino",841
"RTM-Rotterdam",841
"KGS-Kos",840
"ACC-Accra",840
"KJA-Krasnoyarsk",812
"RGN-Yangon",812
"SMF-Sacramento",812
"DTM-Dortmund",812
"TLL-Tallinn-ulemiste International",784
"TPS-Trapani",784
"LJG-Lijiang",784
"DLM-Dalaman",784
"BFS-Belfast",783
"MLE-Male",783
"SDQ-Santo Domingo",756
"LEJ-Leipzig",756
"ZAG-Zagreb",756
"PPT-Papeete",756
"KTW-Katowice",729
"POA-Porto Alegre",702
"MBJ-Montego Bay",702
"SXB-Strasbourg",676
"SNN-Shannon",676
"UPG-Ujung Pandang",676
"CNX-Chiang Mai",676
"CGH-Sao Paulo",676
"BDL-Windsor Locks",676
"WMI-Warsaw",676
"YOW-Ottawa",676
"IKT-Irkutsk",676
"ADL-Adelaide",676
"FLR-Florence",676
"JAX-Jacksonville",676
"HRG-Hurghada",650
"SUB-Surabaya",650
"PFO-Paphos",625
"TIP-Tripoli",625
"AJA-Ajaccio",625
"KIV-Chisinau",625
"NBE-Nizhnekamsk",625
"AUA-Oranjestad",625
"TBS-Tbilisi",600
"MRU-Plaisance",600
"SYZ-Shiraz",576
"ZAD-Zadar",576
"MAH-Menorca",575
"UIO-Quito",552
"NAN-Nandi",552
"SWA-Shantou",552
"CWB-Curitiba",552
"YNT-Yantai",529
"MYR-Myrtle Beach",529
"BIA-Bastia",529
"YWG-Winnipeg",529
"SOU-Southampton",529
"RMQ-Taichung",529
"ABQ-Albuquerque",529
"PBI-West Palm Beach",529
"DJE-Djerba",529
"ABV-Abuja",529
"SAH-Sanaa",528
"VRN-Villafranca",506
"SDF-Louisville",506
"DAL-Dallas",504
"ITM-Osaka",484
"FRU-Bishkek",484
"ANU-Antigua",484
"SJD-San Jose Del Cabo",484
"ORN-Oran",484
"LJU-Ljubljana",484
"ROV-Rostov",484
"KRT-Khartoum",484
"SKP-Skopje",484
"SNA-Santa Ana",462
"CPT-Cape Town",462
"BET-Bethel",462
"SCQ-Santiago",462
"KHV-Khabarovsk",441
"KZN-Kazan",441
"PIK-Prestwick",441
"POS-Port-of-spain",441
"FMM-Memmingen",441
"PVR-Puerto Vallarta",441
"WLG-Wellington",441
"COK-Kochi",441
"SUF-Lamezia",441
"OGG-Kahului",441
"OKC-Oklahoma City",440
"TNR-Antananarivo",420
"BJV-Bodrum",420
"CHC-Christchurch",420
"AGA-Agadir",420
"ABJ-Abidjan",420
"DAR-Dar Es Salaam",418
"GRR-Grand Rapids",400
"TOS-Tromso",400
"VLI-Port-vila",400
"BUF-Buffalo",400
"DAD-Danang",400
"EBL-Erbil",400
"PEN-Penang",400
"MPL-Montpellier",400
"GSP-Greenville",400
"IEV-Kiev",400
"BHM-Birmingham",400
"KUF-Samara",400
"DRW-Darwin",400
"PLS-Providenciales",400
"REP-Siem-reap",400
"MYY-Miri",400
"YKS-Yakutsk",400
"GUA-Guatemala City",399
"DLA-Douala",399
"HBE-Alexandria",399
"CHS-Charleston",380
"CWL-Cardiff",380
"SZG-Salzburg",380
"POZ-Poznan",361
"WUX-Wuxi",361
"UFA-Ufa",361
"GSE-Gothenborg",361
"TSA-Taipei",361
"DSN-Dongsheng",361
"CUR-Willemstad",361
"ALB-Albany",361
"BDS-Brindisi",361
"XNN-Xining",361
"RIC-Richmond",361
"OMA-Omaha",361
"BZE-Belize City",361
"EXT-Exeter",361
"GUM-Agana",361
"KIN-Kingston",361
"KUN-Kaunas",361
"LBD-Khudzhand",361
"FAI-Fairbanks",360
"HIR-Honiara",360
"SSH-Sharm El Sheikh",342
"TJM-Tyumen",342
"GYE-Guayaquil",342
"COO-Cotonou",342
"GCM-Georgetown",342
"STT-St. Thomas",342
"XUZ-Xuzhou",324
"YQB-Quebec",324
"CGB-Cuiaba",324
"TIA-Tirana",324
"CLJ-Cluj-napoca",324
"CZX-Changzhou",324
"CLO-Cali",324
"TUL-Tulsa",324
"BHD-Belfast",324
"SDU-Rio De Janeiro",324
"YZF-Yellowknife",324
"MAO-Manaus",324
"TXN-Huangshan",324
