"aeroport","centralite"
"VPE-Ondjiva",36
"BOB-Bora Bora",35
"HGA-Hargeisa",35
"MAB-Maraba",32
"REL-Trelew",30
"STM-Santarem",30
"UGC-Urgench",30
"TUK-Turbat",30
"BBI-Bhubaneswar",30
"YTH-Thompson",30
"RGI-Rangiroa",30
"AZR-Adrar",30
"AMA-Amarillo",30
"YSB-Sudbury",30
"GAL-Galena",30
"YTS-Timmins",30
"PHE-Port Hedland",30
"ANF-Antofagasta",30
"RPR-Raipur",30
"SKD-Samarkand",30
"ZQW-Zweibruecken",30
"NEV-Charlestown",30
"BBO-Berbera",30
"EFL-Keffallinia",30
"GGT-Great Exuma",30
"VXO-Vaxjo",30
"GRQ-Groningen",30
"OGX-Ouargla",30
"SKB-Basse Terre",30
"KKN-Kirkenes",30
"ZBR-Chah Bahar",30
"CRW-Charleston",27
"TRK-Taraken",25
"LLA-Lulea",25
"VII-Vinh",25
"HAS-Hail",25
"KUS-Kuopio",25
"RKV-Reykjavik",25
"DIG-Shangri-La",25
"SCC-Deadhorse",25
"VFA-Victoria Falls",25
"GIB-Gibraltar",25
"REN-Orenburg",25
"IMF-Imphal",25
"RFD-Rockford",25
"CCC-Cunagua",25
"SYY-Stornoway",25
"YXU-London",25
"QRO-Queretaro",25
"OIT-Oita",25
"DIE-Antsiranana",25
"BUS-Batumi",25
"ACA-Acapulco",25
"IAG-Niagara Falls",25
"TEN-Tongren",25
"ROS-Rosario",25
"HDY-Hat Yai",25
"TFF-Tefe",25
"YVO-Val D'or",25
"MMK-Murmansk",25
"SFA-Sfax",25
"LGK-Langkawi",25
"AXT-Akita",25
"MOB-Mobile",25
"IBR-Ibaraki",25
"PMC-Puerto Montt",25
"EBA-Marina Di Campo",25
"SHV-Shreveport",25
"ASR-Kayseri",25
"PIS-Poitiers",25
"DAX-Dazhou",25
"TJA-Tarija",25
"NTL-Newcastle",25
"LSI-Sumburgh",25
"OAX-Oaxaca",25
"GFK-Grand Forks",25
"BFL-Bakersfield",25
"ZIH-Zihuatanejo",25
"PPS-Puerto Princesa",25
"LDY-Londonderry",25
"KTA-Karratha",25
"BNN-Bronnoysund",25
"MKY-Mackay",25
"NQY-Newquai",25
"ETZ-Metz",25
"MKW-Manokwari",25
"ZCL-Zacatecas",25
"BIS-Bismarck",25
"LMM-Los Mochis",25
"MWX-Muan",25
"PKZ-Pakse",25
"SPR-Menongue",25
"NOJ-Noyabrsk",25
"JUH-Juba",25
"PBG-Plattsburgh",25
"MEH-Mehamn",25
"HDF-Heringsdorf",25
"JDO-Juazeiro Do Norte",25
"CUF-Cuneo",25
"JZH-Jiuzhaigou",25
"GSM-Gothenborg",25
"IXB-Baghdogra",25
"YXJ-Fort Saint John",25
"PGU-Khalije Fars",25
"TUF-Tours",25
"KVA-Kavala",25
"RLG-Laage",25
"REX-Reynosa",25
"VNS-Varanasi",25
"ELM-Elmira",25
"OVS-Sovetskiy",25
"FCA-Kalispell",25
"STX-St. Croix Island",25
"SIP-Simferopol",25
"TAM-Tampico",25
"TGZ-Tuxtla Gutierrez",25
"SWF-Newburgh",25
"HMB-Sohag",25
"ATZ-Asyut",25
"MAS-Momote",25
"LDE-Tarbes",25
"UAK-Narssarssuaq",25
"AQP-Arequipa",25
"PLJ-Pakse",25
"BTU-Bintulu",25
"RTW-Saratov",25
"PEG-Perugia",25
"PHF-Newport News",25
"TAH-Tanna",25
"VPS-Valparaiso",25
"ECP-Panama City",25
"CGY-Ladag",25
"PMR-Palmerston North",25
"BQS-Blagoveschensk",25
"ILM-Wilmington",25
"PGF-Perpignan",25
"CUZ-Cuzco",25
"MFE-Mcallen",25
"AOJ-Aomori",25
"KRL-Korla",25
"GRX-Granada",25
"TVS-Thief River Falls",25
"VGO-Vigo",25
"PBH-Thimphu",25
"MXZ-Meixian",25
"NVT-Navegantes",25
"LST-Launceston",25
"GZT-Gaziantep",25
"IQQ-Iquique",25
"TWU-Tawau",25
"OXB-Bissau",25
"NUS-Norsup",25
"TZA-Knoxville",25
"GNV-Gainesville",25
"VVC-Villavicencio",25
"PEE-Perm",25
"ACX-Xingyi",25
"JAV-Ilulissat",25
"HOR-Horta",25
"CRD-Comodoro Rivadavia",24
"VXE-Sao Vicente Island",24
"UNK-Unalakleet",24
"PWM-Portland",24
"ZQN-Queenstown International",24
"IMP-Imperatriz",20
"SVD-Kingstown",20
"MJF-Mosjoen",20
"RGL-Rio Gallegos",20
"HLN-Helena",20
"FYU-Fort Yukon",20
"MQN-Mo i Rana",20
"BVE-Brive",20
"WJR-Wajir",20
"FRO-Floro",20
"RFP-Raiatea Island",20
"YTL-Thompson",20
"GZO-Gizo",20
"SCU-Santiago De Cuba",20
"YDF-Deer Lake",20
"SSJ-Sandnessjoen",20
"JKH-Chios",20
"DGA-Dallas-Fort Worth",20
"AZS-Samana",20
"EIS-Tortola",20
"PAT-Patina",20
"SKZ-Sukkur",20
"KVD-Ganja",20
"PUF-Pau",16
"YZS-Coral Harbour",16
"HTI-Hamilton Island",16
"FNJ-Pyongyang",16
"YQQ-Comox",16
"GRB-Green Bay",16
"LET-Leticia",16
"BUZ-Bushehr",16
"NBS-Nairobi",16
"IDA-Idaho Falls",16
"XAP-Chapeco",16
"HEA-Herat",16
"KZO-Kzyl-Orda",16
"VOL-Nea Anghialos",16
"ABA-Abakan",16
"PMF-Parma",16
"BLJ-Batna",16
"BHQ-Broken Hill",16
"AXA-The Valley",16
"NOS-Nosy-be",16
"DIY-Diyabakir",16
"MQM-Mardin",16
"TAE-Taegu",16
"YKL-Waterloo",16
"LWS-Lewiston",16
"IQT-Iquitos",16
"LUM-Luxi",16
"ELH-North Eleuthera",16
"JJU-Qaqortoq",16
"YBG-Bagotville",16
"MQL-Mildura",16
"BMV-Buonmethuot",16
"AUQ-Hiva-oa",16
"FAE-Vagar",16
"PKC-Petropavlovsk",16
"HUH-Huahine Island",16
"PEI-Pereira",16
"JSH-Sitia",16
"GHA-Ghardaia",16
"RMF-Marsa Alam",16
"SCE-State College Pennsylvania",16
"PVH-Porto Velho",16
"EVV-Evansville",16
"SLA-Salta",16
"CCP-Concepcion",16
"YYQ-Churchill",16
"SCN-Saarbruecken",16
"JGN-Jiayuguan",16
"TRI-BRISTOL",16
"YNG-Youngstown",16
"NHV-Nuku Hiva",16
"KSC-Kosice",16
"CDB-Cold Bay",16
"TLM-Tlemcen",16
"ELS-East London",16
"MCG-Mcgrath",16
"YHM-Hamilton",16
"VAN-Van",16
"GNY-Sanliurfa",16
"SDL-Sundsvall",16
"TOL-Toledo",16
"UBA-Uberaba",16
"BTK-Bratsk",16
"YSM-Fort Smith",16
"KLU-Klagenfurt",16
"FNI-Nimes",16
"REG-Reggio Calabria",16
"IXJ-Jammu",16
"CFR-Caen",16
"AKX-Aktyubinsk",16
"LXS-Limnos",16
"HUN-Hualien",16
"CJJ-Chongju",16
"JIU-Jiujiang",16
"GDX-Magadan",16
"BVG-Berlevag",16
"MLN-Melilla",16
"ZLO-Manzanillo",16
"DLH-Duluth",16
"SOG-Sogndal",16
"YHU-Chevery",16
"MZG-Makung",16
"LVI-Livingstone",16
"GEV-Gallivare",16
"DNH-Dunhuang",16
"GBT-Gorgan",16
"BCD-Bacolod",16
"SOC-Solo City",16
"OSI-Osijek",16
"RDZ-Rodez",16
"TCZ-Tengchong",16
"JIC-Djibouti",16
"YFC-Fredericton",16
"CAY-Cayenne",16
"YPX-Powell River",16
"MCX-Makhachkala",16
"AZI-Abu Dhabi",16
"KNH-Kinmen",16
"MSA-Moree",16
"DLU-Dali",16
"EBU-St-Etienne",16
"LBC-Luebeck",16
"HUY-Humberside",16
"UTH-Udon Thani",16
"BKG-Buckland",16
"DGO-Durango",16
"PLZ-Port Elizabeth",16
"UCT-Ukhta",16
"CXR-Nha Trang",16
"SHP-Qinhuangdao",16
"QSF-Setif",16
"KER-Kerman",16
"JOI-Joinville",16
"MBS-Saginaw",16
"FAY-Fayetteville",16
"YKU-Yakutsk",16
"KHG-Kashi",16
"YVQ-Norman Wells",16
"TWB-Toowoomba",16
"HNA-Hanamaki",16
"CTL-Charlieville",16
"NDG-Qiqihar",16
"PNK-Pontianak",16
"TMR-Tamanrasset",16
"PFB-Passo Fundo",16
"VBY-Visby",16
"FLW-Flores",16
"BJA-Bejaja",16
"BLZ-Blantyre",16
"GYS-Guangyuan",16
"GXF-Sayun Intl",16
"SNU-Santa Clara",16
"ENY-Yan'an",16
"AZD-Yazd",16
"KSM-St Mary's",16
"MVY-Vineyard Haven MA",16
"MQP-Mpumalanga",16
"GIZ-Gizan",16
"MAJ-Majuro",16
"RLK-Bayannur",16
"VDC-Vitória Da Conquista",16
"PGK-Pangkal Pinang",16
"PYJ-Yakutia",16
"JXA-Jixi",16
"PGA-Page",16
"YIC-Yichun",16
"EYK-Beloyarsky",16
"SDK-Sandakan",16
"SRY-Dasht-e-naz",16
"SRE-Sucre",16
"YAM-Sault Sainte Marie",16
"BQN-Aguadilla",16
"YBC-Baie Comeau",16
"TOF-Tomsk",16
"HLZ-Hamilton",16
"LSC-La Serena",16
"AZO-Kalamazoo",16
"GUR-Gurney",16
"PUQ-Punta Arenas",16
"PNZ-Petrolina",16
"KDH-Kandahar",16
"YCB-Cambridge Bay",16
"YXY-Whitehorse",16
"XBE-Chapeco",16
"GKA-Goroka",16
"GPT-Gulfport",16
"CJC-Calama",16
"MWZ-Mwanza",16
"TBU-Tongatapu",16
"PNP-Girua",16
"MUA-Munda",16
"CUK-Cuneo",16
"ZAM-Zamboanga",16
"STS-Santa Rosa",16
"MOT-Minot",16
"HTS-Huntington",16
"BTR-Baton Rouge",16
"HLH-Ulanhot",16
"TAB-Scarborough",16
"HOV-Orsta-Volda",16
"CEN-Ciudad Obregon",16
"WUA-Wuhai",16
"NSN-Nelson",16
"EZS-Elazig",16
"TRZ-Tiruchirappalli",16
"TGG-Kuala Terengganu",16
"BCV-Belmopan",16
"MZV-Mulu",16
"WWK-Wewak",16
"WMN-Maroantsetra",16
"APW-Faleolo",15
"HSL-Huslia",15
"BJF-Batsfjord",15
"YHD-Dryden",12
"ANX-Andoya",12
"MOZ-Moorea",12
"IXR-Ranchi",12
"PZU-Port Sudan",12
"WBB-Warsaw",12
"CGA-Kerkyra/corfu",12
"KKA-Koyuk",12
"HRI-Mattala",12
"YPH-Ottawa",12
"THL-Tachilek",12
"BHK-Bukhara",12
"CCV-Craig Cove",12
"HEH-Heho",12
"UNG-Kiunga",12
"DUD-Dunedin",12
"YVB-Rouyn",12
"ARI-Arica",12
"BTT-Bettles",12
"TJU-Kulyab",12
"BJM-Bujumbura",12
"BHV-Bahawalpur",12
"YBK-Baker Lake",12
"AOK-Karpathos",12
"DIB-Mohanbari",12
"EGM-Sege",12
"CRP-Corpus Christi",12
"RBY-Ruby",12
"SKN-Stokmarknes",12
"FKQ-Fak Fak",12
"HAD-Halmstad",12
"CKS-Parauapebas",12
"USH-Ushuaia",12
"WAA-Wales",12
"HOD-Hodeidah",12
"PLW-Palu",12
"TAL-Takamatsu",12
"YPM-Ottawa",10
"HYL-Hydaburg",9
"BGM-Binghamton",9
"ELI-Elim",9
"GDT-Cockburn Town",9
"TPP-Tarapoto",9
"UUA-Bugulma",9
"YMO-Makkovik",9
"TLN-Hyeres",9
"ZSA-Cockburn Town",9
"VNX-Vilankulu",9
"PVU-Provo",9
"TOB-Tobruk",9
"ONG-Mornington Island",9
"AEB-San Andres Island",9
"DIR-Dire Dawa",9
"COQ-Choibalsan",9
"PMW-Palmas",9
"RBR-Rio Branco",9
"TMS-Sao Tome",9
"CEI-Chiang Rai",9
"TVU-Matei",9
"IXS-Silchar",9
"YPJ-Ottawa",9
"NYA-Nyagan",9
"INU-Nauru",9
"SVJ-Svolvær",9
"PUU-Puerto Asis",9
"RVK-Rørvik",9
"YGL-Kingston",9
"HBA-Hobart",9
"GRJ-George",9
"RIA-Santa Maria",9
"DMD-Doomadgee",9
"MLU-Monroe",9
"XIL-Xilinhot",9
"DIL-Dili",9
"ZEL-Bella Bella",9
"CXJ-Caxias Do Sul",9
"AYQ-Uluru",9
"DCM-Castres",9
"ETH-Elat",9
"RSH-Russian Mission",9
"OHE-Mohe County",9
"GOM-Goma",9
"BNK-Ballina Byron Bay",9
"YHY-Hay River",9
"NOV-Huambo",9
"JNZ-Jinzhou",9
"BHE-Woodbourne",9
"IJK-Izhevsk",9
"ABD-Abadan",9
"CWA-Wassau",9
"PLQ-Palanga",9
"MEA-Macaé",9
"GLK-Galcaio",9
"LIF-Lifou",9
"NVI-Navoi",9
"CNJ-Cloncurry",9
"LMP-Lampedusa",9
"TLE-Toliara",9
"LDH-Lord Howe Island",9
"SPP-Menongue",9
"TRG-Tauranga",9
"IQN-Qingyang",9
"KSQ-Khanabad",9
"CMW-Camaguey",9
"KWN-Quinhagak",9
"AKJ-Asahikawa",9
"ERZ-Erzurum",9
"BGA-Bucaramanga",9
"VAI-Vanimo",9
"KIT-Kithira",9
"ZVK-Savannakhet",9
"FMN-Farmington",9
"AJL-Aizwal",9
"KLV-Karlovy Vary",9
"EMK-Emmonak",9
"BZG-Bydgoszcz",9
"JTC-Bauru",9
"GLT-Gladstone",9
"ERI-Erie",9
"BUA-Buka Island",9
"BHH-Bisha",9
"YYD-Smithers",9
"NPL-New Plymouth",9
"IXZ-Port Blair",9
"YQD-The Pas",9
"BBK-Kasane",9
"YXT-Terrace",9
"ERS-Windhoek",9
"ERC-Erzincan",9
"BAL-Batman",9
"SDD-Lubango",9
"UIB-Quibdo",9
"KVX-Kirov",9
"PCL-Pucallpa",9
"MIM-Merimbula",9
"JKL-Kalymnos",9
"GCC-Gillette",9
"SVB-Sambava",9
"BNX-Banja Luka",9
"CUC-Cucuta",9
"UEL-Quelimane",9
"ZSJ-St.-pierre",9
"SFT-Skelleftea",9
"DUT-Unalaska",9
"PWQ-Pavlodar",9
"BRM-Barquisimeto",9
"YKG-Waterloo",9
"KVG-Kavieng",9
"MNG-Maningrida",9
"CAW-Campos",9
"RST-Rochester",9
"WVB-Walvis Bay",9
"YHR-Chevery",9
"YGR-Iles De La Madeleine",9
"AZN-Andizhan",9
"DDG-Dodge City",9
"BSK-Biskra",9
"YQX-Gander",9
"AAQ-Anapa",9
"NDB-Nouadhibou",9
"GES-Romblon",9
"MMY-Miyako",9
"GTE-Groote Eylandt",9
"YEK-Eskimo Point",9
"VDE-Hierro",9
"DNR-Dinard",9
"JIJ-Jijiga",9
"ITO-Hilo",9
"SRP-Stord",9
"SMS-Sainte Marie",9
"YUD-Toronto",9
"YSK-Sanikiluaq",9
"KOT-Kotlik",9
"UAP-Ua Pou",9
"YXC-Cranbrook",9
"POR-Pori",9
"DLE-Dole",9
"PNL-Pantelleria",9
"SRZ-Santa Cruz",9
"YCS-Chesterfield Inlet",9
"LLF-Yongzhou",9
"NQN-Neuquen",9
"BFN-Bloemfontein",9
"FSP-St.-pierre",9
"CPR-Casper",9
"LNK-Lincoln",9
"YHI-Holman Island",9
"GRI-Grand Island",9
"EAM-Nejran",9
"PNI-Pohnpei",9
"VIL-Dakhla",9
"YYE-Smithers",9
"DRO-Durango",9
"YUY-Rouyn",9
"JHS-Sisimiut",9
"RKS-Rock Springs",9
"KLG-Kalskag",9
"KUH-Kushiro",9
"SVU-Savusavu",9
"KGI-Kalgoorlie",9
"KWA-Kwajalein",9
"GAJ-Yamagata",9
"YYH-Spence Bay",9
"LRD-Laredo",9
"PIR-Pierre",9
"LSP-Paraguana",9
"ASW-Aswan",9
"YQG-Windsor",9
"NPE-NAPIER",9
"GRK-Killeen",9
"JGD-Jamnagar",9
"YYG-Charlottetown",9
"TVC-Traverse City",9
"PDG-Padang",9
"KNX-Kununurra",9
"ROK-Rockhampton",9
"INH-Inhambane",9
"DLI-Dalat",9
"EUN-El Aaiún",9
"MMB-Memanbetsu",9
"CPO-Copiapo",9
"NBX-Nabire",9
"YSJ-St. John",9
"ACV-Arcata CA",9
"ROT-Rotorua",9
"DAU-Daru",9
"ITH-Ithaca",9
"GAN-Gan Island",9
"OUL-Oulu",9
"BWT-Burnie",9
"OSD-Östersund",9
"KUA-Kuantan",9
"URA-Uralsk",9
"FTE-El Calafate",9
"IPA-Ipota",9
"STW-Stavropol",9
"YSO-Postville",9
"YNA-Natashquan",9
"DOU-Dourados",9
"VCA-Can Tho",9
"YIF-St-Augustin",9
"IPN-Ipatinga",9
"NCU-Nukus",9
"KCM-Kahramanmaras",9
"HOF-Al-ahsa",9
"YBX-Lourdes-De-Blanc-Sablon",9
"AUX-Araguaina",9
"KTS-Brevig Mission",9
"OSR-Ostrava",9
"PHO-Philadelphia",9
"GOV-Gove",9
"MXL-Mexicali",9
"LRS-Leros",9
"ENU-Enugu",9
"GLV-Golovin",9
"JEG-Aasiaat",9
"BTJ-Banda Aceh",9
"DPL-Dipolog",9
"LUK-Ludhiaha",9
"MSR-Mus",9
"JCB-Joacaba",9
"YFO-Flin Flon",9
"LBU-Labuan",9
"LPP-Lappeenranta",9
"YMT-Makkovik",9
"SLH-Sola",9
"YBL-Campbell River",9
"BBA-Balmaceda",9
"YCO-Coppermine",9
"GPA-Patras",9
"XMH-Manihi",9
"SAF-Santa Fe",9
"YFH-Fredericton",9
"MQX-Makale",9
"EQS-Esquel",9
"VST-Vasteras",9
"YMN-Makkovik",9
"ISC-ST MARY\\'S",9
"LLI-Lalibella",9
"ABT-El-baha",9
"OUZ-Zouerat",9
"CAC-Cascavel",9
"HKN-Hoskins",9
"YHK-Gjoa Haven",9
"PQC-Phuquoc",9
"GWD-Gwadar",9
"MZR-Mazar-i-sharif",9
"PAZ-Poza Rico",9
"IXL-Leh",9
"PPW-Papa Westray",9
"MYT-Myitkyina",9
"YQK-Kenora",9
"TRW-Tarawa",9
"WUZ-Wuzhou",9
"MTV-Ablow",9
"LKN-Leknes",9
"TTE-Ternate",9
"LBE-Latrobe",9
"ESM-Esmeraldas",9
"TIM-Timika",9
"AEX-Alexandria",9
"MLX-Malatya",9
"YGT-Igloolik",9
"ANM-Antalaha",9
"BUQ-Bulawayo",9
"URT-Surat Thani",9
"MAU-Maupiti",9
"ZGU-Gaua Island",9
"VAS-Sivas",9
"YQF-Red Deer Industrial",9
"WLS-Wallis",9
"RYK-Rahim Yar Khan",9
"LFT-Lafayette",9
"TBG-Tabubil",9
"IXA-Agartala",9
"PLX-Semiplatinsk",9
"YAY-Yap",9
"IRA-Kirakira",9
"OAJ-Jacksonville NC",9
"MHQ-Mariehamn",9
"IXC-Chandigarh",9
"KSY-Kars",9
"PXU-Pleiku",9
"KGA-Kananga",9
"PQQ-Port Macquarie",9
"OSY-Namsos",9
"NNM-Naryan-Mar",9
"MGM-MONTGOMERY",9
"SKK-Shaktoolik",9
"URJ-Uraj",9
"BHI-Bahia Blanca",9
"XIC-Xichang",9
"KSN-Kostanay",9
"AGS-Bush Field",9
"JUL-Juliaca",9
"AVA-Anshun",9
"TOH-Loh/Linua",9
"LWY-Lawas",9
"IGR-Iguazu Falls",9
"LNE-Lonorore",9
"VAW-Vardø",9
"UAH-Ua Huka",9
"YKA-Kamloops",9
"YUT-Repulse Bay",9
"KSH-Bakhtaran",9
"KCZ-Kochi",9
"CFB-Cabo Frio",9
"SBP-San Luis Obispo",9
"JUZ-Quzhou",9
"LRE-Longreach",8
"NRL-North Ronaldsay",8
"TGM-Tirgu Mures",8
"DMB-Dzhambul",8
"TOE-Tozeur",8
"INB-Iron Mountain",8
"CYO-Cayo Largo del Sur",6
"ULB-Ambryn Island",6
"CYB-Cayman Brac",6
"EDL-Eldoret",6
"FDE-Rome",6
"KNG-Kaimana",6
"AKP-Anaktuvuk Pass",6
"LNY-Lanai",6
"GHB-Governor's Harbor",6
"KAL-Kaltag",6
"NYK-Nanyuki",6
"KKH-Kongiganak",6
"ATM-Altamira",6
"ZRJ-Zurich",6
"PQS-Port Macquarie",6
"CIJ-Cobija",6
"SBZ-Sibiu",6
"HSG-Saga",6
"DEA-Dera Ghazi Khan",6
"SOJ-Sorkjosen",6
"BGF-Bangui",6
"LKE-Lakeba Island",6
"INZ-In Salah",6
"WNN-Napakiak",6
"SVK-Svolvær",6
"FKI-Kisangani",6
"TKX-Takaroa",6
"YER-Eskimo Point",6
"NYU-Bagan",6
"MYD-Malindi",6
"HYA-Barnstable",6
"MKK-Molokai",6
"ELD-El Dorado",6
"TUB-Tubuai",6
"YXN-Whale Cove",6
"NDY-Sanday",6
"BOC-Bocas Del Toro",6
"KTB-Karratha",6
"NUL-Nulato",6
"TIH-Tikehau",6
"EWB-New Bedford",6
"YAG-Fort Frances",6
"TKG-Bandar Lampung-Sumatra Island",6
"AET-Allakaket",6
"HVG-Honningsvag",6
"KPN-Kipnuk",6
"LNV-Lancaster",6
"PIX-Pico",6
"RUR-Rurutu",6
"NLK-Norfolk Island",6
"ERM-Erechim",6
"TIZ-Tari",6
"CKB-Clarksburg",6
"AHE-Ahe",6
"JIK-Ikaria",6
"KYA-Konya",6
"MXH-Moro",6
"BHO-Bhopal",6
"KWK-Kwigillingok",6
"MDK-Mbandaka",6
"YAX-Yap",6
"GIS-Gisborne",4
"PKE-Parkes",4
"CLQ-Colima",4
"FAV-Fakarava",4
"KLR-Kalkmar",4
"LEB-Lebanon",4
"ZCO-Temuco",4
"DLG-Dillingham",4
"PSE-Ponce",4
"INL-International Falls",4
"ULV-Ulyanovsk",4
"JNN-Nanortalik",4
"LGL-Long Datih",4
"MXX-Mora",4
"YFA-Inuvik",4
"AXP-Spring Point",4
"RAE-Arar",4
"MRX-Bandar Mahshahr",4
"BRA-Barreiras",4
"IXM-Madurai",4
"FKS-Fukushima",4
"MOF-Maumere",4
"FEN-Fernando Do Noronha",4
"OMH-Uromiyeh",4
"SVA-Savoonga",4
"PDV-Plovdiv",4
"AXU-Axum",4
"VAA-Vaasa",4
"YCY-Clyde River",4
"EBJ-Esbjerg",4
"LWB-Lewisburg",4
"NRA-Narrandera",4
"ACH-Altenrhein",4
"PSG-Petersburg",4
"RVE-Saravena",4
"MDQ-Mar Del Plata",4
"ATY-Watertown",4
"KPO-Pohang",4
"RBQ-Rabat",4
"SNP-St. Paul Island",4
"LCR-Columbus",4
"KIM-Kimberley",4
"JLR-Jabalpur",4
"YNO-Yanji",4
"COD-Cody",4
"BKY-Bukavu/kavumu",4
"MYA-Moruya",4
"MQT-Gwinn",4
"FSM-Fort Smith",4
"URY-Guriat",4
"DRV-DHARAVANDHOO",4
"EVG-Sveg",4
"KOC-Koumac",4
"MOQ-Morondava",4
"IGM-Igiugig",4
"LLK-Lankaran",4
"SVP-Kuito",4
"HDS-Hoedspruit",4
"TBB-Tuy Hoa",4
"PPB-President Prudente",4
"ROP-Rota",4
"TAC-Tacloban",4
"WRG-Wrangell",4
"KOV-Kokshetau",4
"JUJ-Jujuy",4
"KGE-Kagau Island",4
"IZA-Juiz de Fora",4
"KLW-Klawock",4
"HAQ-Haa Dhaalu Atoll",4
"DDC-Dodge City",4
"ADU-Ardabil",4
"UTP-Pattaya",4
"UPN-Uruapan",4
"OZZ-Ouarzazate",4
"JQA-Uummannaq",4
"KDM-Kaadedhdhoo",4
"CEG-Hawarden",4
"BRL-Burlington",4
"GFF-Griffith",4
"KSF-Kassel",4
"MPA-Mpacha",4
"BQB-Brusselton",4
"MGZ-Myeik",4
"SBY-Salisbury",4
"HOT-Hot Springs",4
"IAM-Zarzaitine",4
"PND-Pamplona",4
"RMA-Roma",4
"YQY-Sydney",4
"RSU-Yeosu",4
"YGX-Gillam",4
"XKS-Phon Savan",4
"MII-Marília",4
"BSG-Bata",4
"OHH-Mohe County",4
"ABX-Albury",4
"CBQ-Calabar",4
"CDV-Cordova",4
"DNZ-Denizli",4
"VHC-Saurimo",4
"DLY-Dillon's Bay",4
"MSJ-Misawa",4
"RCE-Richard's Bay",4
"OZH-Zaporozhye",4
"BHS-Bathurst",4
"FUJ-Fukue",4
"YAB-Arctic Bay",4
"YPN-Port Menier",4
"WGA-Wagga Wagga",4
"TSH-Tshikapa",4
"ULH-Olgii",4
"AXM-Armenia",4
"PDA-Puerto Inírida",4
"KYU-Koyukuk",4
"MKL-Jackson",4
"STV-Surat",4
"PEM-Puerto Maldonado",4
"NUI-Nuiqsut",4
"BEU-Bedourie",4
"AQJ-Aqaba",4
"APO-Carepa",4
"ASJ-Amami",4
"TYR-Tyler",4
"DMU-Dimapur",4
"CCM-Criciuma",4
"PCR-Puerto Carreno",4
"BNY-Banja Luka",4
"MCN-Macon",4
"LYB-Little Cayman",4
"UDR-Udaipur",4
"YDQ-Nain",4
"DIK-Dickinson",4
"CEC-Crescent City",4
"KRO-Kurgan",4
"USU-Busuanga",4
"YTQ-Thompson",4
"SLQ-Sleetmute",4
"CRI-Colonel Hill",4
"HNS-Haines",4
"HPB-Hooper Bay",4
"BMU-Bima",4
"VIG-El Vigía",4
"UKS-Sevastopol",4
"AKU-Aksu",4
"GLF-Golfito",4
"GST-Gustavus",4
"HCR-Holy Cross",4
"AFA-San Rafael",4
"IBE-Ibague",4
"SDV-Tel-aviv",4
"PET-Pelotas",4
"MVP-Mitu",4
"TRO-Taree",4
"AKV-Aksu",4
"AOG-Anshan",4
"KTG-Ketapang",4
"YLH-Whatì",4
"ENE-Ende",4
"NYT-Naypyidaw",4
"LLU-Alluitsup Paa",4
"SKU-Skiros",4
"DBO-Dubbo",4
"PJM-Puerto Jimenez",4
"VHM-Vilhelmina",4
"BSA-Bosaso",4
"DSK-Dera Ismael Khan",4
"CFC-Cacador",4
"KUD-Kudat",4
"TVY-Dawei",4
"UTN-Upington",4
"TGJ-Tiga",4
"SRX-Sirt",4
"BIK-Biak",4
"TNO-Nicoya",4
"JCK-Julia Creek",4
"KSD-Karlstad",4
"CAB-Cabinda",4
"AKY-Sittwe",4
"YRB-Resolute",4
"IXD-Allahabad",4
"BGG-Bangui",4
"LUG-Lugano",4
"GKK-Kooddoo",4
"EAS-San Sebastian",4
"CBT-Catumbela",4
"GDQ-Gondar",4
"FKL-Franklin",4
"LNB-Lamen Bay",4
"KVL-Kivalina",4
"SHW-Sharurah",4
"KWM-Kowanyama",4
"SJZ-Sao Jorge Island",4
"RNB-Ronneby",4
"GLN-Galcaio",4
"FBS-Lubumashi",4
"JAC-Jacksn Hole",4
"MOC-Montes Claros",4
"KKI-Kongiganak",4
"HFA-Haifa",4
"HGR-Hagerstown",4
"BLE-Barcelona",4
"IPL-Imperial",4
"PED-Pardubice",4
"HUS-Hughes",4
"ESU-Essadouira",4
"YNS-Yanji",4
"JHM-Lahania-kapalua",4
"YPY-Fort Chipewyan",4
"HIN-Sacheon",4
"PUW-Pullman",4
"YGH-Fort Good Hope",4
"TUP-Tupelo",4
"MLB-Melbourne",4
"MZH-Merzifon",4
"GIU-Sigiriya",4
"YWL-Williams Lake",4
"ERL-Erenhot",4
"YIO-Pond Inlet",4
"TAP-Tapachula",4
"TCQ-Tacna",4
"VDH-Hierro",4
"YKF-Waterloo",4
"SLW-Saltillo",4
"HVB-Hervey Bay",4
"CYF-Chefornak",4
"WBQ-Wapenamanda",4
"AGR-Agra",4
"YQZ-Quesnel",4
"GEL-Santo Angelo",4
"AIN-Wainwright",4
"ZFN-Tulita",4
"YWH-Victoria",4
"STD-Santo Domingo",4
"ORV-Noorvik",4
"XBJ-Birjand",4
"ZEM-Bella Bella",4
"YAC-Arctic Bay",4
"IMT-Iron Mountain",4
"AOR-Alor Setar",4
"IGA-Matthew Town",4
"HHH-Hilton Head Island",4
"NGQ-Shiquanhe",4
"ORB-Sinop",4
"SHX-Shageluk",4
"SOW-Show Low",4
"VIJ-Spanish Town",4
"MMJ-Matsumoto",4
"TMJ-Termez",4
"GXH-Xiahe city",4
"AWD-Aniwa",4
"TLA-Teller",4
"RET-Røst",4
"LYC-Lycksele",4
